Reference area,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,,,,,,
Switzerland,2020,77.47,PT_BD_AV_ICU,,,,,,
Switzerland,2019,75.74,PT_BD_AV_ICU,,,,Reference area,(Multiple Items),
France,2021,83.27,PT_BD_AV_ICU,,,,,,
France,2020,82.78,PT_BD_AV_ICU,,,,Sum of OBS_VALUE,Column Labels,
France,2016,84.52,PT_BD_AV_ICU,,,,Row Labels,PT_BD_AV_ICU,Grand Total
France,2015,84.34,PT_BD_AV_ICU,,,,2015,143.2,143.2
France,2022,80.21,PT_BD_AV_ICU,,,,2016,141.9,141.9
Australia,2016,68.9,PT_BD_AV_ICU,,,,2017,137.2,137.2
Australia,2015,70.2,PT_BD_AV_ICU,,,,2018,139.6,139.6
Australia,2020,69.1,PT_BD_AV_ICU,,,,2019,71.8,71.8
Australia,2019,71.8,PT_BD_AV_ICU,,,,2020,69.1,69.1
Australia,2018,68.6,PT_BD_AV_ICU,,,,2021,70.5,70.5
Australia,2023,75.5,PT_BD_AV_ICU,,,,2022,74.8,74.8
Australia,2022,74.8,PT_BD_AV_ICU,,,,2023,75.5,75.5
Australia,2021,70.5,PT_BD_AV_ICU,,,,Grand Total,923.6,923.6
Australia,2017,68.2,PT_BD_AV_ICU,,,,,,
Portugal,2020,51.57,PT_BD_AV_ICU,,,,,,
Portugal,2019,70.97,PT_BD_AV_ICU,,,,,,
Portugal,2018,62.21,PT_BD_AV_ICU,,,,,,
Portugal,2017,62.27,PT_BD_AV_ICU,,,,,,
Portugal,2016,68.59,PT_BD_AV_ICU,,,,,,
Portugal,2015,68.19,PT_BD_AV_ICU,,,,,,
Portugal,2021,71.32,PT_BD_AV_ICU,,,,,,
France,2019,84.12,PT_BD_AV_ICU,,,,,,
France,2018,85.42,PT_BD_AV_ICU,,,,,,
France,2017,84.45,PT_BD_AV_ICU,,,,,,
Israel,2017,73.3,PT_BD_AV_ICU,,,,,,
Israel,2016,74.34,PT_BD_AV_ICU,,,,,,
Israel,2015,76.72,PT_BD_AV_ICU,,,,,,
Israel,2023,69.99,PT_BD_AV_ICU,,,,,,
Israel,2022,75.94,PT_BD_AV_ICU,,,,,,
Israel,2021,81.28,PT_BD_AV_ICU,,,,,,
Israel,2020,75.11,PT_BD_AV_ICU,,,,,,
Germany,2017,80.1,PT_BD_AV_ICU,,,,,,
Germany,2016,81.4,PT_BD_AV_ICU,,,,,,
Germany,2015,81.2,PT_BD_AV_ICU,,,,,,
Germany,2022,69.4,PT_BD_AV_ICU,,,,,,
Germany,2021,71.4,PT_BD_AV_ICU,,,,,,
Germany,2020,69.9,PT_BD_AV_ICU,,,,,,
Germany,2019,77,PT_BD_AV_ICU,,,,,,
Germany,2018,78.1,PT_BD_AV_ICU,,,,,,
Austria,2022,68.28,PT_BD_AV_ICU,,,,,,
