VAR,Variable,ICU_Type,Statistics_Type,UNIT,Measure,COU,Country,Continent,Year,OBS_VALUE,OBS_STATUS
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,KOR,Korea,Asia,2020,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2020,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2020,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,KOR,Korea,Asia,2019,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2019,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2017,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2017,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2018,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2015,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2015,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2016,0,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2016,0,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2014,27.66,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2014,0.28,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2010,27.45,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2010,0.27,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,FRA,France,Europe,2015,31.06,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,LTU,Lithuania,Europe,2015,62.48,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,FRA,France,Europe,2015,1.56,A
