VAR,Variable,ICU_Type,Statistics_Type,Measure,COU,Country,Continent,Year,OBS_VALUE
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,KOR,Korea,Asia,2020,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2020,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUS,Australia,Oceania,2020,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,KOR,Korea,Asia,2019,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2019,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2017,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUS,Australia,Oceania,2017,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2018,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2015,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUS,Australia,Oceania,2015,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,JPN,Japan,Asia,2016,0
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUS,Australia,Oceania,2016,0
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2014,27.66
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2014,0.28
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2010,27.45
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2010,0.27
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,FRA,France,Europe,2015,31.06
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LTU,Lithuania,Europe,2015,62.48
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,FRA,France,Europe,2015,1.56
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CAN,Canada,North America,2015,16.64
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2015,0.16
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,MEX,Mexico,North America,2015,0.07
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2015,9.53
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2015,10.05
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,FRA,France,Europe,2015,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUS,Australia,Oceania,2015,0.43
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,ISR,Israel,Asia,2015,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2015,0.25
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2015,2.42
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,DEU,Germany,Europe,2015,0.34
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2015,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,DEU,Germany,Europe,2015,30.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,NLD,Netherlands,Europe,2015,7.13
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,HUN,Hungary,Europe,2015,11.44
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2015,20.17
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,ISR,Israel,Asia,2015,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,AUT,Austria,Europe,2015,3.04
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2015,0.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2015,9.37
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,TUR,Türkiye,Asia,2015,71.06
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,LTU,Lithuania,Europe,2015,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CHE,Switzerland,Europe,2015,1.44
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2015,0.13
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,FIN,Finland,Europe,2015,5.47
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2015,76.72
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,DEU,Germany,Europe,2015,0.01
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,NLD,Netherlands,Europe,2015,0.07
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUS,Australia,Oceania,2015,70.2
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2015,25.42
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,TUR,Türkiye,Asia,2015,0.4
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ESP,Spain,Europe,2015,10.38
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ESP,Spain,Europe,2015,1.58
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUT,Austria,Europe,2015,2.64
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,NLD,Netherlands,Europe,2015,73
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2015,27.41
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUT,Austria,Europe,2015,75.96
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LVA,Latvia,Europe,2015,70.7
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,AUT,Austria,Europe,2015,0.03
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LTU,Lithuania,Europe,2015,0.21
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,LVA,Latvia,Europe,2015,0.1
