Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Computed Tomography scanners,Number,Australia,2014,1316,3.12,High
Magnetic Resonance Imaging units,Number,Australia,2014,344,2.54,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2014,56,1.75,Low
Gamma cameras,Number,Australia,2014,460,2.66,Medium
Mammographs,Number,Australia,2014,540,2.73,Medium
Radiation therapy equipment,Number,Australia,2014,248,2.39,Medium
Computed Tomography scanners,Number,Austria,2014,251,2.4,Medium
Magnetic Resonance Imaging units,Number,Austria,2014,168,2.23,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2014,19,1.28,Low
Radiation therapy equipment,Number,Austria,2014,42,1.62,Low
Gamma cameras,Number,Austria,2014,99,2,Low
Mammographs,Number,Austria,2014,201,2.3,Medium
Computed Tomography scanners,Number,Belgium,2014,244,2.39,Medium
Magnetic Resonance Imaging units,Number,Belgium,2014,132,2.12,Medium
Positron Emission Tomography (PET) scanners,Number,Belgium,2014,30,1.48,Low
Gamma cameras,Number,Belgium,2014,290,2.46,Medium
Mammographs,Number,Belgium,2014,412,2.61,Medium
Radiation therapy equipment,Number,Belgium,2014,204,2.31,Medium
Mammographs,Number,Canada,2014,622,2.79,Medium
Computed Tomography scanners,Number,Czechia,2014,159,2.2,Medium
Magnetic Resonance Imaging units,Number,Czechia,2014,78,1.89,Low
Positron Emission Tomography (PET) scanners,Number,Czechia,2014,8,0.9,Very Low
Gamma cameras,Number,Czechia,2014,117,2.07,Medium
Radiation therapy equipment,Number,Czechia,2014,79,1.9,Low
Computed Tomography scanners,Number,Denmark,2014,213,2.33,Medium
Positron Emission Tomography (PET) scanners,Number,Denmark,2014,34,1.53,Low
Gamma cameras,Number,Denmark,2014,93,1.97,Low
Mammographs,Number,Denmark,2014,93,1.97,Low
Radiation therapy equipment,Number,Denmark,2014,75,1.88,Low
Computed Tomography scanners,Number,Finland,2014,117,2.07,Medium
Magnetic Resonance Imaging units,Number,Finland,2014,127,2.1,Medium
Mammographs,Number,Finland,2014,168,2.23,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2014,13,1.11,Low
Radiation therapy equipment,Number,Finland,2014,54,1.73,Low
Computed Tomography scanners,Number,France,2014,1016,3.01,High
Magnetic Resonance Imaging units,Number,France,2014,720,2.86,Medium
Positron Emission Tomography (PET) scanners,Number,France,2014,108,2.03,Medium
Gamma cameras,Number,France,2014,381,2.58,Medium
Computed Tomography scanners,Number,Germany,2014,2862,3.46,High
Magnetic Resonance Imaging units,Number,Germany,2014,2470,3.39,High
Computed Tomography scanners,Number,Greece,2014,377,2.58,Medium
Magnetic Resonance Imaging units,Number,Greece,2014,249,2.4,Medium
Mammographs,Number,Greece,2014,629,2.8,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2014,5,0.7,Very Low
Gamma cameras,Number,Greece,2014,158,2.2,Medium
Radiation therapy equipment,Number,Greece,2014,68,1.83,Low
Computed Tomography scanners,Number,Iceland,2014,13,1.11,Low
Magnetic Resonance Imaging units,Number,Iceland,2014,7,0.85,Very Low
Gamma cameras,Number,Iceland,2014,2,0.3,Very Low
Mammographs,Number,Iceland,2014,5,0.7,Very Low
Radiation therapy equipment,Number,Iceland,2014,3,0.48,Very Low
Computed Tomography scanners,Number,Ireland,2014,77,1.89,Low
Magnetic Resonance Imaging units,Number,Ireland,2014,62,1.79,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2014,8,0.9,Very Low
