STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,OWNERSHIP_TYPE,Hospital type,HEALTH_FUNCTION,Healthcare function,CARE_TYPE,Care type,MEDICAL_TECH,Medical technology,HEALTH_CARE_PROVIDER,Healthcare provider,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,BD,Beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,4780,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CHE,Switzerland,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,77.47,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CHE,Switzerland,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,75.74,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,83.27,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,82.78,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,NZL,New Zealand,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,BD,Beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,173,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CAN,Canada,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,10P5HB,Per 100 000 inhabitants,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,12.79,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CAN,Canada,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,10P5HB,Per 100 000 inhabitants,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,12.31,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,84.52,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,PT_BD_AV_ICU,Percentage of available intensive care unit (ICU) beds,MEAN,Arithmetic mean,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,84.34,,,,,,,,,,,,,
