STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,OWNERSHIP_TYPE,Hospital type,HEALTH_FUNCTION,Healthcare function,CARE_TYPE,Care type,MEDICAL_TECH,Medical technology,HEALTH_CARE_PROVIDER,Healthcare provider,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,CHE,Switzerland,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2015,,3.38,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,CHE,Switzerland,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2016,,3.34,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,CHE,Switzerland,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2017,,3.31,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,IRL,Ireland,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,MRI,Magnetic resonance imaging (MRI) units,_T,Total,2015,,14.08,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,BEL,Belgium,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,GAMMA,Gamma cameras,_T,Total,2017,,25.73,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,LTU,Lithuania,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2016,,0.7,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,LTU,Lithuania,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2017,,0.71,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,LTU,Lithuania,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PET_SCAN,Positron emission tomography (PET) scanners,_T,Total,2018,,0.71,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,BEL,Belgium,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,GAMMA,Gamma cameras,_T,Total,2016,,25.68,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_MED_TECH(1.0),Medical technology availability,I,IRL,Ireland,MTU,Medical technology availability,10P6HB,Per 1 000 000 inhabitants,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,MRI,Magnetic resonance imaging (MRI) units,_T,Total,2016,,14.77,,,,,,,,,,,,,
