STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ROU,Romania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLOTPH,Medical doctors not further defined,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ROU,Romania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLOTPH,Medical doctors not further defined,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,POL,Poland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENE,Generalist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0.98,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,2.35,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,2.22,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,POL,Poland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,1.92,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,POL,Poland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.97,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,POL,Poland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,1.94,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,1.83,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,0.24,,,,,,,,,,,,,
